WijkenEnBu,BU_CODE,cbs_l1_totalpo,cbs_l2_childre,cbs_l3_student,cbs_l4_mobile_,cbs_l5_not_mob,cbs_l6_elderly,cbs_l10_wester,cbs_l10_nonwes,cbs_l10_mar,cbs_l10_ant,cbs_l10_sur,cbs_l10_tur,ois_totalpop,ois_Children,ois_Students,ois_MobileAdul,ois_NotMobileA,ois_Elderly,ois_l10_sur,ois_l10_ant,ois_l10_mar,ois_l10_tur,ois_l10_wester,ois_l10_nonwes,ois_gc_2018_children,ois_gc1_2018_children,ois_gc_2018_elderly,ois_gc1_2018_elderly,ois_gc_2018_mar,ois_gc1_2018_mar,ois_gc_2018_mobile_adults,ois_gc1_2018_mobile_adults,ois_gc_2018_not_mobile_adults,ois_gc1_2018_not_mobile_adults,ois_gc_2018_students,ois_gc1_2018_students,ois_gc_2018_totalpop,ois_gc1_2018_totalpop,ois_gc_2018_tur,id,BuurtID,Buurtcode,Oppervlakt,Stadsdeelc,Wijkcode,ois_gc1_2018_tur
Spaarndammerbuurt Zuidwest,BU03631303,1670.0,205.0,100.0,665.0,345.0,365.0,340.0,400.0,70.0,30.0,110.0,30.0,1672.0,234.0,255.0,478.0,341.0,364.0,108.0,27.0,67.0,31.0,169.0,337.0,248.0,448.0,363.0,536.0,43.0,109.0,439.0,922.0,355.0,742.0,210.0,524.0,1615.0,3172.0,6.0,67,03630000000545,E13d,75810.0,E,E13,16.0
Zeeheldenbuurt,BU03631300,2080.0,325.0,195.0,820.0,530.0,225.0,415.0,720.0,220.0,20.0,165.0,35.0,2084.0,419.0,343.0,572.0,526.0,224.0,164.0,21.0,220.0,33.0,279.0,414.0,404.0,485.0,212.0,297.0,110.0,120.0,554.0,666.0,488.0,734.0,330.0,408.0,1988.0,2590.0,4.0,66,03630000000542,E13a,103332.0,E,E13,4.0
Spaarndammerbuurt Midden,BU03631304,1295.0,180.0,125.0,560.0,325.0,115.0,235.0,390.0,90.0,20.0,95.0,25.0,1299.0,211.0,255.0,396.0,325.0,112.0,92.0,18.0,90.0,24.0,164.0,230.0,189.0,456.0,113.0,249.0,54.0,117.0,363.0,833.0,299.0,670.0,264.0,435.0,1228.0,2643.0,,424,03630000000546,E13e,57345.0,E,E13,7.0
Spaarndammerbuurt Noordoost,BU03631301,2755.0,335.0,255.0,950.0,890.0,335.0,455.0,1000.0,255.0,45.0,235.0,100.0,2756.0,428.0,461.0,644.0,888.0,335.0,234.0,46.0,255.0,100.0,364.0,456.0,389.0,661.0,312.0,470.0,113.0,181.0,571.0,1092.0,786.0,1241.0,397.0,735.0,2455.0,4199.0,24.0,423,03630000000543,E13b,111776.0,E,E13,32.0
Overbraker Binnenpolder,BU03631307,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,15.0,155.0,12.0,192.0,4.0,25.0,52.0,344.0,41.0,279.0,27.0,197.0,147.0,1167.0,,426,03630000000549,E13h,631217.0,E,E13,5.0
Spaarndammerbuurt Noordwest,BU03631305,1950.0,250.0,160.0,850.0,515.0,190.0,335.0,690.0,205.0,25.0,180.0,50.0,1955.0,322.0,283.0,652.0,511.0,187.0,180.0,23.0,202.0,48.0,239.0,330.0,321.0,405.0,184.0,238.0,97.0,117.0,655.0,809.0,520.0,647.0,285.0,405.0,1965.0,2504.0,5.0,425,03630000000547,E13f,119137.0,E,E13,5.0
De Wittenbuurt Noord,BU03631400,1380.0,180.0,115.0,585.0,350.0,160.0,285.0,350.0,95.0,15.0,50.0,40.0,1382.0,215.0,249.0,410.0,348.0,160.0,47.0,14.0,95.0,39.0,157.0,285.0,182.0,288.0,157.0,275.0,53.0,76.0,348.0,570.0,316.0,553.0,209.0,324.0,1212.0,2010.0,8.0,80,03630000000550,E14a,74630.0,E,E14,23.0
Westergasfabriek,BU03631306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,8.0,256.0,11.0,315.0,,56.0,39.0,587.0,11.0,519.0,16.0,340.0,85.0,2017.0,1.0,79,03630000000548,E13g,255109.0,E,E13,34.0
De Wittenbuurt Zuid,BU03631401,885.0,75.0,90.0,240.0,325.0,160.0,180.0,240.0,70.0,10.0,45.0,10.0,885.0,105.0,137.0,159.0,325.0,159.0,46.0,7.0,69.0,7.0,109.0,178.0,135.0,377.0,190.0,428.0,46.0,115.0,223.0,629.0,431.0,841.0,182.0,396.0,1161.0,2671.0,6.0,81,03630000000551,E14b,46305.0,E,E14,35.0
Westerstaatsman,BU03631404,2875.0,320.0,260.0,1525.0,665.0,115.0,750.0,660.0,165.0,30.0,95.0,30.0,2875.0,421.0,562.0,1116.0,665.0,111.0,92.0,27.0,164.0,29.0,351.0,747.0,428.0,831.0,109.0,266.0,86.0,185.0,1021.0,1737.0,636.0,1376.0,494.0,965.0,2688.0,5175.0,4.0,84,03630000000554,E14e,100239.0,E,E14,28.0
