index,Buurtcode,ois_totalpop,ois_children,ois_students,ois_mobadults,ois_nmobadults,ois_elderly,ois_sur,ois_ant,ois_mar,ois_tur,ois_wester,ois_nonwes,ois_gc_2018_children,ois_gc1_2018_children,ois_gc_2018_elderly,ois_gc1_2018_elderly,ois_gc_2018_mar,ois_gc1_2018_mar,ois_gc_2018_mobadults,ois_gc1_2018_mobadults,ois_gc_2018_nmobadults,ois_gc1_2018_nmobadults,ois_gc_2018_students,ois_gc1_2018_students,ois_gc_2018_sur,ois_gc1_2018_sur,ois_gc_2018_totalpop,ois_gc1_2018_totalpop,ois_gc_2018_tur,id,ois_gc1_2018_tur,Buurtnaam,Wijkcode,Stadsdeelc,Oppervlakt,BuurtID,sdnaam,gebiedcode,gebiednaam,totalpop,Children,Students,MobileAdul,NotMobileA,Elderly,l10_sur,l10_ant,l10_tur,l10_mar,l10_wester,l10_nonwes,autoch,ois_gc2_l1_totalpop,ois_gc2_l2_children,ois_gc2_l3_students,ois_gc2_l4_mobile_adults,ois_gc2_l5_not_mobile_adults,ois_gc2_l6_elderly,ois_gc2_tur,ois_gc2_mar,ois_gc2_ant,ois_gc2_sur
365,T93h,2559,714,607,470,641,127,603,151,94,41,1065,205,714,778,127,143,41,42,470,512,641,699,607,633,429,490,2559,2765,18,365,19,Hakfort/Huigenbos,T93,T,294799,3.63E+12,T Zuidoost,T93h Hakfort/Huigenbos,Hakfort/Huigenbos,2559,714,607,470,641,127,603,151,41,94,1065,205,400,2532.576647,703.7143182,604.4285159,465.1525433,633.4684635,125.8128056,17.89235051,40.89235051,108.3195825,423.503776
366,T93i,204,41,22,32,53,56,40,2,3,0,36,41,31,241,50,96,,3,24,154,37,225,14,102,20,127,156,818,,366,2,Huntum,T93,T,119183,3.63E+12,T Zuidoost,T93i Huntum,Huntum,204,41,22,32,53,56,40,2,0,3,36,41,82,246.0447921,61.74282056,27.23032814,41.36209098,60.76337554,54.94617687,0.114258646,0.629453339,8.089022458,32.50999875
367,T92d,430,24,381,17,8,0,46,13,21,14,79,51,18,24,0,0,3,3,16,17,8,8,346,381,16,16,388,430,2,367,2,Amstel III deel A/B Zuid,T92,T,375486,3.63E+12,T Zuidoost,T92d Amstel III deel A/B Zuid,Amstel III deel A/B Zuid,430,24,381,17,8,0,46,13,14,21,79,51,206,391.0133166,19.75243944,346.8128417,16.44803548,8,0,2,2.688075525,5.79205035,15.37615105
368,T92e,3,0,0,0,1,2,0,0,0,0,0,1,0,0,2,2,,,0,0,1,1,0,0,,,3,3,,368,,Amstel III deel C/D Zuid,T92,T,359966,3.63E+12,T Zuidoost,T92e Amstel III deel C/D Zuid,Amstel III deel C/D Zuid,3,0,0,0,1,2,0,0,0,0,0,1,2,3,0,0,0,1,2,,,,
369,T92f,35,1,5,12,17,0,10,1,5,0,7,5,7,16,0,1,4,7,13,13,17,17,40,183,10,16,77,230,,369,,AMC,T92,T,801463,3.63E+12,T Zuidoost,T92f AMC,AMC,35,1,5,12,17,0,10,1,0,5,7,5,7,71.67210891,5.247560563,39.00536873,11.82480627,15.5456835,0.048689839,,3.948345351,1.117054869,9.714901139
370,T93b,3455,671,665,888,974,257,1041,145,122,80,1011,429,646,730,247,265,46,55,863,928,937,1008,643,837,732,787,3336,3768,49,370,53,Venserpolder Oost,T93,T,322687,3.63E+12,T Zuidoost,T93b Venserpolder Oost,Venserpolder Oost,3455,671,665,888,974,257,1041,145,80,122,1011,429,627,3291.873823,633.9164708,655.8821852,841.9556627,915.8194646,244.3000392,48.4712385,46.5283147,101.0886082,710.5216616
371,T93c,1978,312,1366,151,118,31,272,160,25,27,519,451,305,591,33,70,9,20,146,316,132,372,1381,1515,173,357,1997,2864,12,371,20,D-buurt,T93,T,277037,3.63E+12,T Zuidoost,T93c D-buurt,D-buurt,1978,312,1366,151,118,31,272,160,27,25,519,451,524,2063.417261,339.2068054,1364.140922,164.6740135,158.1885589,37.20696136,12.24480049,9.646610347,110.9941458,188.8132972
372,T93d,3862,1177,690,799,1011,185,1534,181,129,86,1092,291,1188,1256,209,290,49,50,809,896,1007,1118,677,794,934,1055,3890,4354,32,372,39,F-buurt,T93,T,232072,3.63E+12,T Zuidoost,T93d F-buurt,F-buurt,3862,1177,690,799,1011,185,1534,181,86,129,1092,291,549,3735.052534,1133.144356,653.7799588,765.9802568,977.8808161,204.2671467,31.57680059,46.44959325,117.6027224,909.2764291
373,K49b,1249,337,114,223,324,251,14,8,1,17,85,396,318,486,259,545,4,5,247,376,335,533,128,204,16,22,1287,2144,15,373,17,Beethovenbuurt,K49,K,152229,3.63E+12,K Zuid,K49b Beethovenbuurt,Beethovenbuurt,1249,337,114,223,324,251,14,8,17,1,85,396,728,1306.966455,327.067276,129.4893539,248.6041715,335.2623207,266.5433326,13.20299963,3.479158328,3.457007321,13.55841533
374,T94b,3738,716,742,810,1122,348,1532,211,58,31,965,399,718,1246,330,598,23,58,790,1222,1108,1760,709,1037,1024,1578,3655,5863,12,374,37,G-buurt West,T94,T,426869,3.63E+12,T Zuidoost,T94b G-buurt West,G-buurt West,3738,716,742,810,1122,348,1532,211,31,58,965,399,542,3779.86376,749.4185725,725.6393157,826.5619961,1133.561111,344.6827647,14.1073743,27.63760163,180.5944709,1038.443422
375,T94d,2631,520,403,512,725,471,905,250,62,21,644,229,525,844,459,562,28,34,514,750,735,1028,408,556,711,913,2641,3740,15,375,22,Kortvoort,T94,T,222325,3.63E+12,T Zuidoost,T94d Kortvoort,Kortvoort,2631,520,403,512,725,471,905,250,21,62,644,229,520,2671.81358,539.0519873,411.1723425,525.5311244,737.1110264,458.9470993,15.72702263,26.69242348,208.2879959,704.7620172
376,T94e,1010,231,165,151,297,166,342,45,11,9,239,85,266,442,168,256,3,10,172,276,327,509,175,260,256,431,1108,1743,3,376,3,Kelbergen,T94,T,217996,3.63E+12,T Zuidoost,T94e Kelbergen,Kelbergen,1010,231,165,151,297,166,342,45,9,11,239,85,279,1128.679515,276.2785371,174.4567304,179.4486472,330.4895774,168.0060232,2.999999973,4.173739705,29.48653207,261.3618195
377,T94g,1340,441,198,424,240,37,433,86,41,37,395,103,466,729,47,119,14,29,436,654,272,561,216,545,205,384,1437,2608,16,377,22,K-buurt Zuidoost,T94,T,196049,3.63E+12,T Zuidoost,T94g K-buurt Zuidoost,K-buurt Zuidoost,1340,441,198,424,240,37,433,86,37,41,395,103,245,1492.441055,471.8451285,218.6345739,448.3442707,298.6392784,54.97780378,15.97378286,13.95156068,64.12771693,224.0590744
378,T94h,1465,463,199,316,386,101,609,81,45,27,395,81,415,795,99,206,16,31,291,545,344,710,180,356,345,573,1329,2612,9,378,11,K-buurt Zuidwest,T94,T,168453,3.63E+12,T Zuidoost,T94h K-buurt Zuidwest,K-buurt Zuidwest,1465,463,199,316,386,101,609,81,27,45,395,81,227,1519.312912,476.8038148,207.7070692,325.2476336,392.817223,116.7371715,8.531054845,19.03935042,60.96750257,374.1785741
379,T94i,1752,490,258,440,471,93,789,87,44,32,422,137,454,583,79,113,14,18,367,575,425,574,244,417,448,566,1569,2262,12,379,18,Grunder/Koningshoef,T94,T,131271,3.63E+12,T Zuidoost,T94i Grunder/Koningshoef,Grunder/Koningshoef,1752,490,258,440,471,93,789,87,32,44,422,137,241,1417.436387,407.9941042,212.5784286,350.1722412,374.6983604,71.99325258,11.65809641,12.24093064,49.25069261,394.5326663
380,SAA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herensingelkwartier,SAA,S,97318,3.63098E+12,,,,,,,,,,,,,,,,,,,,,,,,,,
381,T94k,2183,412,268,338,698,467,614,89,19,16,501,266,399,704,459,493,16,29,333,553,665,917,242,416,407,594,2098,3083,9,380,16,Kantershof,T94,T,604509,3.63E+12,T Zuidoost,T94k Kantershof,Kantershof,2183,412,268,338,698,467,614,89,16,19,501,266,678,2203.567172,431.9237835,268.0725837,344.1673787,696.7505829,462.6528434,8.884524867,18.74174376,73.82442564,422.4306372
